R1,R2,L1,L2,Transmission_ppm,Loss
0.8878156950637305,0.8700929959807889,2.764711948209755,0.901407371817,538.9052169018406,123.09421199520311
0.9289559032201959,0.8799286209667139,2.611871062485466,0.7961460280011505,524.536679090285,648.3807117511282
0.8813142691140049,0.9038645986438965,1.994706873098596,2.645554286289795,589.9091301417852,1592.73866867395
0.874494097075203,0.8712217710824166,2.3992822164401426,2.894119210444517,611.6077548289936,3795.515455069387
0.9362385628292095,0.9047619056723473,1.816182022150661,2.6956924249585015,477.7502820998622,5220.021736649492
0.9867393301509548,0.9591942183124401,1.8245168715508913,0.5464171900729655,443.24508492883643,11396.611891851346
0.9702907462339299,0.8784363476090491,2.770135676363734,2.747755470852809,432.40363245667487,13828.905659384813
0.9461621399524848,0.9247322041255882,2.6619508355369588,2.9272140436452148,425.00506266951373,15623.73435825219
0.8864651251625337,0.9095561942255317,2.019902962915424,0.7736689677209885,422.8682876052477,16162.472296422015
0.9896628614068186,0.9649109104733298,1.9719968550167193,0.9005393064237212,734.3878570942679,33998.88184381617
