L1 (m),L2 (m),R1 = R2,R3,Baseline BW (Hz),Tunability/10°C (Hz)
0.03096969696969697,297.55,0.97,0.999999,15.397932564187315,24.919677773910358
0.04560606060606061,297.55,0.97,0.999999,12.977362578620463,23.950019168741967
0.024,297.55,0.978,0.999999,12.435661650465232,23.646256561161234
0.002393939393939394,297.55,0.974,0.999999,56.68352908582411,23.518408744157846
0.009363636363636366,297.55,0.974,0.999999,24.325078491611517,23.299024635029618
0.03096969696969697,297.55,0.971,0.999999,14.376727839127426,23.263257725306996
0.01703030303030303,297.55,0.985,0.999999,10.857487812344493,23.08409229892016
0.04560606060606061,297.55,0.971,0.999999,12.117063090856414,22.35787320409314
0.002393939393939394,297.55,0.975,0.999999,52.36206633124236,21.726476045250372
0.03096969696969697,297.55,0.972,0.999999,13.391621160160149,21.665309653712317
0.024,297.55,0.979,0.999999,11.323180953717563,21.524639297128626
0.009363636363636366,297.55,0.975,0.999999,22.47093776718625,21.52115482833494
0.016333333333333335,297.55,0.97,0.999999,19.16900514240855,20.852497876441063
0.04560606060606061,297.55,0.972,0.999999,11.28718043591504,20.821954558905954
0.06024242424242424,297.55,0.97,0.999999,11.387763630424413,20.813826332451555
0.03096969696969697,297.55,0.973,0.999999,12.442506386910226,20.125670009021373
0.002393939393939394,297.55,0.976,0.999999,48.21560525574771,20.006745418765604
0.009363636363636366,297.55,0.976,0.999999,20.692097011921472,19.815332845277428
0.024,297.55,0.98,0.999999,10.26401562596028,19.50459061726821
0.016333333333333335,297.55,0.971,0.999999,17.897157864462997,19.466668207463663
0.06024242424242424,297.55,0.971,0.999999,10.633141186570388,19.43006532065048
0.04560606060606061,297.55,0.973,0.999999,10.487624492529802,19.342103421102156
0.03096969696969697,297.55,0.974,0.999999,11.52927762171844,18.644175287159154
0.002393939393939394,297.55,0.977,0.999999,44.24371449306836,18.35908302843229
0.009363636363636366,297.55,0.977,0.999999,18.988344530159498,18.181374885742837
0.016333333333333335,297.55,0.972,0.999999,16.670253396008157,18.129725756101823
0.03096969696969697,297.55,0.975,0.999999,10.651829209321892,17.220662032735106
0.016333333333333335,297.55,0.973,0.999999,15.488161168708913,16.841537225411308
0.002393939393939394,297.55,0.978,0.999999,40.44595990765642,16.783351848530074
0.009363636363636366,297.55,0.978,0.999999,17.35946865169903,16.61909629392373
0.016333333333333335,297.55,0.974,0.999999,14.350750851048446,15.601969214771925
0.002393939393939394,297.55,0.979,0.999999,36.82190462551731,15.2794116912348
0.009363636363636366,297.55,0.979,0.999999,15.80525773544303,15.128311569425119
0.03793939393939394,297.55,0.97,0.999999,11.767689482741048,14.752023877169272
0.016333333333333335,297.55,0.975,0.999999,13.257892348522649,14.410888223346575
0.002393939393939394,297.55,0.98,0.999999,33.37110906503904,13.847119234087648
0.03793939393939394,297.55,0.971,0.999999,10.987808735923577,13.771285688221601
0.023303030303030305,297.55,0.97,0.999999,13.554467884762262,13.761032103947244
0.009363636363636366,297.55,0.98,0.999999,14.325500173024366,13.708834378327555
0.016333333333333335,297.55,0.976,0.999999,12.209455803829673,13.268160653517123
0.05257575757575758,297.55,0.97,0.999999,10.596555345918542,13.230649083205153
0.023303030303030305,297.55,0.971,0.999999,12.655804188155399,12.846252756828365
0.03793939393939394,297.55,0.972,0.999999,10.235504493698423,12.825190148992798
0.002393939393939394,297.55,0.981,0.999999,30.093130967818514,12.486328047583664
0.009363636363636366,297.55,0.981,0.999999,12.919984392409276,12.360477564207295
0.016333333333333335,297.55,0.977,0.999999,11.205311597054576,12.173652814297299
0.023303030303030305,297.55,0.972,0.999999,11.788912103305547,11.963775916574594
0.002393939393939394,297.55,0.982,0.999999,26.987525429482204,11.1968886228755
0.016333333333333335,297.55,0.978,0.999999,10.245330345849124,11.1272309247226
0.023303030303030305,297.55,0.973,0.999999,10.953697665621,11.113510119277457
0.009363636363636366,297.55,0.982,0.999999,11.588498861478639,11.0830531591135
0.023303030303030305,297.55,0.974,0.999999,10.150067146742789,10.29536397241317
0.002393939393939394,297.55,0.983,0.999999,24.05384493049844,9.978648399587827
0.009363636363636366,297.55,0.983,0.999999,10.330832091587123,9.876372394502074
0.002393939393939394,297.55,0.984,0.999999,21.29163936697893,8.831451793738534
0.030272727272727274,297.55,0.97,0.999999,10.874480665425986,8.642214038255077
0.030272727272727274,297.55,0.971,0.999999,10.153983107202738,8.067641901311841
0.04490909090909091,297.55,0.97,0.999999,10.029373722007726,7.912516210797923
0.008666666666666666,297.55,0.97,0.999999,16.285299005565424,7.898529691968362
0.002393939393939394,297.55,0.985,0.999999,18.70045608146678,7.755140225762207
0.008666666666666666,297.55,0.971,0.999999,15.205111929166366,7.373533248320299
0.008666666666666666,297.55,0.972,0.999999,14.16310482375383,6.867066360586459
0.015636363636363636,297.55,0.97,0.999999,12.19496876716966,6.8341502429407
0.002393939393939394,297.55,0.986,0.999999,16.279839893708363,6.749552148631778
0.015636363636363636,297.55,0.971,0.999999,11.386682091365785,6.379814022523544
0.008666666666666666,297.55,0.973,0.999999,13.159165742914684,6.379077507378742
0.015636363636363636,297.55,0.972,0.999999,10.60697526563485,5.941525115999737
0.008666666666666666,297.55,0.974,0.999999,12.193182983878174,5.90951516921148
0.002393939393939394,297.55,0.987,0.999999,14.029333131406588,5.814523076074059
0.008666666666666666,297.55,0.975,0.999999,11.265045087296985,5.458327829454342
0.008666666666666666,297.55,0.976,0.999999,10.37464083702637,5.025463975277838
